,Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,performance_id
6505,False,1.0,1.0,3.0,3.0,139.333,0,17,0,$0.00,0,0,6012
6506,False,3.0,2.0,3.0,4.0,78.667,13,7,1,$11408.00,0,1,6013
6507,False,5.0,4.0,4.0,4.0,40.0,2,6,0,$0.00,0,0,6014
6508,False,3.0,3.0,3.0,3.0,42.667,6,6,0,$0.00,0,0,6015
6509,False,5.0,4.0,5.0,5.0,25.333,0,2,0,$0.00,0,0,6016
6510,False,4.0,4.0,3.0,3.0,12.667,1,1,0,$0.00,0,0,6017
6512,False,4.0,4.0,3.0,5.0,14.667,1,0,0,$0.00,0,0,6018
6513,False,3.0,3.0,3.0,5.0,30.0,0,0,0,$0.00,0,0,6019
6514,False,4.0,4.0,2.0,1.0,9.333,0,0,0,$0.00,0,0,6020
6515,False,4.0,2.0,4.0,4.0,79.333,10,9,0,$0.00,0,0,6021
6516,False,5.0,5.0,4.0,5.0,20.0,2,0,0,$0.00,0,0,6022
6517,False,3.0,2.0,3.0,4.0,88.0,6,7,0,$0.00,0,0,6023
6518,False,5.0,5.0,5.0,5.0,15.333,0,2,0,$0.00,0,0,6024
6519,False,2.0,3.0,1.0,2.0,28.0,0,1,0,$0.00,0,0,6025
6520,False,5.0,5.0,4.0,5.0,6.667,4,0,0,$0.00,0,0,6026
6521,False,2.0,2.0,3.0,4.0,94.0,14,4,0,$0.00,0,0,6027
6522,False,1.0,1.0,2.0,4.0,127.833,5,7,3,$31461.00,3,6,6028
6524,False,2.0,1.0,4.0,4.0,102.0,4,5,3,$31005.00,0,3,6029
6525,False,4.0,4.0,4.0,3.0,39.0,2,1,1,$3900.00,1,2,6030
6526,False,2.0,2.0,2.0,3.0,72.667,5,8,0,$0.00,0,0,6031
6527,False,4.0,3.0,5.0,5.0,51.333,0,2,0,$0.00,0,0,6032
6528,False,2.0,1.0,1.0,2.0,99.167,7,13,0,$0.00,0,0,6033
6529,False,1.0,1.0,4.0,4.0,97.0,3,7,3,$17843.00,0,3,6034
6530,False,3.0,2.0,2.0,4.0,65.167,5,0,1,$8158.00,0,1,6035
6532,False,3.0,2.0,3.0,2.0,92.5,5,15,1,$5200.00,0,1,6036
6533,False,3.0,3.0,4.0,4.0,28.667,0,0,0,$0.00,0,0,6037
6534,False,1.0,1.0,1.0,2.0,162.667,6,37,0,$0.00,0,0,6038
6535,False,1.0,2.0,1.0,1.0,33.333,0,0,0,$0.00,0,0,6039
6536,False,4.0,3.0,3.0,4.0,49.667,1,8,2,$11733.00,0,2,6040
6537,False,4.0,4.0,3.0,3.0,40.0,2,1,0,$0.00,0,0,6041
6538,False,1.0,1.0,3.0,3.0,62.667,0,2,0,$0.00,0,0,6042
6539,False,4.0,4.0,4.0,5.0,31.333,0,3,0,$0.00,0,0,6043
6540,False,5.0,4.0,5.0,5.0,32.0,1,0,0,$0.00,0,0,6044
6541,False,5.0,5.0,4.0,3.0,2.667,3,0,0,$0.00,0,0,6045
6542,False,2.0,1.0,4.0,4.0,60.0,0,0,0,$0.00,0,0,6046
