,Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties
5215,False,4.0,3.0,5.0,5.0,71.0,0,0,0,$0.00,0,0
5216,False,5.0,5.0,4.0,4.0,26.0,1,0,0,$0.00,0,0
5217,False,2.0,2.0,4.0,4.0,104.0,1,2,0,$0.00,0,0
5218,False,3.0,4.0,3.0,3.0,20.0,0,2,1,$1500.00,0,1
5219,False,1.0,1.0,4.0,3.0,156.333,1,0,1,$137345.00,0,1
5220,False,4.0,5.0,3.0,4.0,8.667,0,0,0,$0.00,0,0
5221,False,1.0,2.0,1.0,2.0,44.667,1,6,1,$13228.00,0,1
5222,False,4.0,4.0,2.0,3.0,15.333,0,0,0,$0.00,0,0
5223,False,1.0,1.0,2.0,3.0,338.333,2,3,1,$508495.00,1,2
5224,False,4.0,3.0,4.0,4.0,30.667,0,5,0,$0.00,0,0
5225,False,1.0,2.0,3.0,3.0,48.667,1,1,0,$0.00,0,0
5226,False,3.0,2.0,4.0,4.0,71.833,2,0,1,$69528.00,0,1
5227,False,1.0,1.0,3.0,4.0,225.833,1,6,0,$0.00,1,1
5228,False,1.0,1.0,2.0,2.0,165.833,3,2,2,$121843.00,0,2
5229,False,3.0,4.0,3.0,3.0,10.667,1,1,0,$0.00,0,0
5230,False,3.0,4.0,3.0,3.0,21.333,0,1,0,$0.00,0,0
5231,False,1.0,1.0,2.0,4.0,216.167,2,2,2,$208425.00,1,3
5232,False,1.0,1.0,3.0,4.0,119.5,1,7,1,$436050.00,0,1
5233,False,1.0,1.0,1.0,2.0,352.167,1,11,1,$12713.00,1,2
5234,False,1.0,1.0,2.0,2.0,551.667,2,8,1,$39845.00,0,1
5235,False,2.0,2.0,3.0,2.0,58.667,0,2,0,$0.00,0,0
5236,False,3.0,4.0,3.0,4.0,22.667,0,0,0,$0.00,0,0
5237,False,3.0,3.0,3.0,3.0,32.0,0,1,2,$7800.00,0,2
5238,False,3.0,3.0,2.0,3.0,32.667,0,0,0,$0.00,0,0
5239,False,3.0,3.0,4.0,4.0,32.0,0,0,0,$0.00,0,0
5240,False,1.0,1.0,1.0,1.0,185.333,0,5,1,$77000.00,0,1
5241,False,1.0,1.0,1.0,2.0,289.333,2,8,3,$253393.00,0,3
5242,False,2.0,2.0,2.0,2.0,40.667,0,0,0,$0.00,0,0
5243,False,2.0,2.0,3.0,4.0,50.0,1,3,0,$0.00,0,0
5244,False,2.0,2.0,2.0,3.0,57.333,2,4,0,$0.00,0,0
5245,False,1.0,1.0,3.0,3.0,121.333,0,2,1,$162025.00,0,1
5246,False,2.0,2.0,3.0,4.0,74.0,1,8,1,$16120.00,0,1
5247,False,2.0,2.0,4.0,4.0,82.167,0,0,0,$0.00,0,0
5248,False,2.0,2.0,4.0,4.0,61.0,1,0,1,$16088.00,1,2
5249,False,3.0,4.0,4.0,4.0,20.667,2,1,1,$22588.00,0,1
5250,False,4.0,4.0,3.0,3.0,19.333,0,1,0,$0.00,0,0
5251,False,4.0,3.0,4.0,4.0,57.333,2,0,0,$0.00,0,0
5252,False,2.0,1.0,5.0,5.0,346.5,1,16,0,$0.00,1,1
5253,False,3.0,2.0,5.0,5.0,114.333,3,0,0,$0.00,0,0
5254,False,2.0,1.0,5.0,5.0,153.5,3,3,0,$0.00,0,0
5255,False,5.0,5.0,5.0,5.0,30.0,3,0,0,$0.00,0,0
5256,False,4.0,3.0,5.0,5.0,55.333,1,0,0,$0.00,0,0
5257,False,5.0,5.0,5.0,5.0,21.6,0,3,0,$0.00,0,0
5258,False,3.0,3.0,5.0,5.0,66.667,0,0,0,$0.00,0,0
5259,False,4.0,2.0,4.0,3.0,93.333,0,0,0,$0.00,0,0
5260,False,4.0,4.0,3.0,2.0,19.333,1,2,0,$0.00,0,0
5261,False,3.0,4.0,2.0,3.0,19.333,0,2,0,$0.00,0,0
5262,False,3.0,3.0,3.0,3.0,24.0,0,1,0,$0.00,0,0
5263,False,4.0,4.0,3.0,3.0,20.0,0,3,0,$0.00,0,0
5264,False,1.0,2.0,3.0,3.0,94.333,0,4,1,$2860.00,0,1
5265,False,5.0,5.0,5.0,5.0,9.333,0,0,0,$0.00,0,0
5266,False,1.0,1.0,3.0,4.0,117.833,2,12,2,$147375.00,0,2
5267,False,3.0,4.0,3.0,3.0,11.333,0,0,0,$0.00,0,0
5268,False,1.0,2.0,1.0,2.0,85.833,1,2,1,$4030.00,0,1
5269,False,1.0,1.0,3.0,4.0,209.667,1,0,1,$130358.00,0,1
5270,False,4.0,3.0,2.0,1.0,27.333,1,2,0,$0.00,0,0
5271,False,1.0,1.0,3.0,3.0,124.667,2,2,1,$344059.00,1,2
5272,False,2.0,2.0,3.0,3.0,108.333,2,0,1,$23400.00,1,2
5273,False,2.0,3.0,3.0,3.0,33.333,1,0,0,$0.00,0,0
5274,False,3.0,3.0,2.0,2.0,26.0,2,0,0,$0.00,0,0
5275,False,5.0,5.0,4.0,5.0,6.667,0,0,0,$0.00,0,0
5276,False,4.0,3.0,3.0,3.0,29.333,0,1,0,$0.00,0,0
5277,False,5.0,5.0,4.0,4.0,8.0,0,2,0,$0.00,0,0
5278,False,3.0,2.0,4.0,4.0,91.833,1,2,1,$40000.00,0,1
5279,False,3.0,4.0,2.0,4.0,20.667,1,1,10,$26975.00,1,11
5280,False,4.0,4.0,3.0,5.0,14.0,0,0,0,$0.00,0,0
5281,False,5.0,4.0,5.0,5.0,12.667,0,2,0,$0.00,0,0
5282,False,4.0,4.0,2.0,2.0,22.667,0,1,0,$0.00,0,0
5283,False,3.0,2.0,4.0,4.0,80.0,0,2,0,$0.00,0,0
5284,False,4.0,3.0,4.0,4.0,26.0,0,4,0,$0.00,0,0
5285,False,4.0,5.0,2.0,2.0,9.333,0,0,0,$0.00,0,0
5286,False,4.0,3.0,4.0,3.0,32.0,1,0,0,$0.00,0,0
5287,False,5.0,5.0,5.0,5.0,8.0,0,1,0,$0.00,0,0
5288,False,5.0,5.0,4.0,3.0,9.333,0,0,0,$0.00,0,0
5289,False,3.0,3.0,3.0,2.0,25.333,0,2,0,$0.00,0,0
5290,False,1.0,1.0,2.0,2.0,150.5,0,3,0,$0.00,0,0
5291,False,1.0,2.0,2.0,4.0,91.0,0,0,1,$146055.00,0,1
5292,False,1.0,2.0,3.0,4.0,49.333,0,1,1,$13390.00,1,2
5293,False,5.0,5.0,3.0,3.0,4.0,0,0,0,$0.00,0,0
5294,False,1.0,1.0,3.0,2.0,166.333,1,3,6,$154850.00,2,8
5295,False,1.0,2.0,1.0,1.0,72.667,1,4,0,$0.00,0,0
5296,False,2.0,1.0,4.0,4.0,217.667,0,1,1,$425000.00,0,1
5297,False,1.0,1.0,1.0,1.0,114.167,1,3,2,$62465.00,0,2
5298,False,1.0,1.0,2.0,3.0,458.333,1,8,1,$523868.00,1,2
5299,False,1.0,1.0,1.0,2.0,146.333,3,5,2,$321328.00,0,2
5300,False,2.0,3.0,1.0,2.0,30.667,0,0,0,$0.00,0,0
5301,False,2.0,3.0,1.0,2.0,30.0,0,0,0,$0.00,0,0
5302,False,1.0,1.0,3.0,3.0,139.667,0,1,1,$34288.00,1,2
5303,False,1.0,1.0,3.0,2.0,166.333,0,1,0,$0.00,0,0
5304,False,2.0,2.0,3.0,3.0,48.667,1,3,0,$0.00,0,0
5305,False,4.0,2.0,4.0,4.0,74.0,0,0,1,$13325.00,0,1
5306,False,1.0,1.0,4.0,3.0,207.167,0,7,1,$89408.00,1,2
5307,False,2.0,3.0,3.0,4.0,29.167,1,0,1,$17453.00,0,1
5308,False,1.0,2.0,1.0,2.0,87.5,0,4,0,$0.00,0,0
5309,False,4.0,4.0,4.0,3.0,12.667,0,0,0,$0.00,0,0
5310,False,2.0,2.0,2.0,2.0,60.667,0,1,0,$0.00,0,0
5311,False,2.0,3.0,3.0,4.0,28.0,1,1,0,$0.00,0,0
5312,False,2.0,3.0,3.0,3.0,30.0,0,2,0,$0.00,0,0
5313,False,1.0,1.0,3.0,2.0,145.0,0,0,1,$26066.00,0,1
5314,False,5.0,5.0,5.0,5.0,6.0,0,0,0,$0.00,0,0
5315,False,2.0,2.0,5.0,5.0,115.333,2,0,2,$65293.00,0,2
5316,False,5.0,5.0,3.0,4.0,10.0,0,0,0,$0.00,0,0
5317,False,1.0,1.0,4.0,4.0,260.0,3,1,2,$189184.00,2,4
5318,False,3.0,4.0,3.0,3.0,20.667,1,1,0,$0.00,0,0
5319,False,5.0,4.0,2.0,3.0,22.0,1,0,0,$0.00,0,0
5320,False,1.0,1.0,5.0,5.0,240.667,0,2,1,$386750.00,0,1
5321,False,4.0,4.0,3.0,1.0,22.667,2,2,0,$0.00,0,0
5322,False,4.0,3.0,3.0,3.0,34.667,0,0,0,$0.00,0,0
5323,False,1.0,2.0,3.0,4.0,77.0,0,3,1,$187700.00,1,2
5324,False,3.0,3.0,3.0,2.0,26.0,0,0,0,$0.00,0,0
5325,False,5.0,5.0,4.0,4.0,3.333,0,0,0,$0.00,0,0
5326,False,1.0,1.0,2.0,3.0,486.0,6,6,3,$299390.00,1,4
5327,False,1.0,1.0,4.0,5.0,147.167,1,3,2,$209138.00,0,2
5328,False,1.0,1.0,5.0,5.0,267.5,2,2,1,$500000.00,0,1
5329,False,2.0,1.0,2.0,3.0,137.333,3,2,3,$225096.00,1,4
5330,False,5.0,3.0,4.0,4.0,30.0,0,0,0,$0.00,1,1
5331,False,1.0,1.0,4.0,5.0,168.333,2,14,2,$536683.00,1,3
5332,False,2.0,4.0,1.0,2.0,20.0,1,2,0,$0.00,0,0
5333,False,1.0,1.0,3.0,4.0,201.0,1,1,2,$115310.00,1,3
5334,False,1.0,1.0,2.0,3.0,143.333,1,2,1,$36888.00,1,2
5335,False,5.0,5.0,5.0,5.0,10.667,0,0,0,$0.00,0,0
5336,False,3.0,3.0,3.0,3.0,40.0,0,0,0,$0.00,0,0
5337,False,4.0,3.0,3.0,4.0,34.667,0,1,0,$0.00,0,0
5338,False,1.0,1.0,2.0,2.0,407.833,0,11,2,$361726.00,0,2
5339,False,2.0,3.0,1.0,1.0,29.333,2,0,0,$0.00,0,0
5340,False,3.0,4.0,3.0,3.0,14.0,0,1,0,$0.00,0,0
5341,False,3.0,4.0,1.0,2.0,20.667,0,1,0,$0.00,0,0
5342,False,4.0,2.0,4.0,4.0,40.667,1,4,0,$0.00,0,0
5343,False,2.0,2.0,3.0,3.0,81.0,1,2,1,$34710.00,1,2
5344,False,2.0,3.0,3.0,3.0,40.0,1,1,1,$9230.00,0,1
5345,False,4.0,4.0,,,22.667,0,0,0,$0.00,0,0
5346,False,4.0,3.0,4.0,5.0,31.333,1,1,0,$0.00,0,0
5347,False,5.0,4.0,3.0,4.0,14.667,1,2,1,$1300.00,0,1
5348,False,3.0,3.0,3.0,2.0,27.0,1,0,1,$17680.00,0,1
5349,False,3.0,2.0,4.0,4.0,76.0,3,0,1,$210763.00,0,1
5350,False,5.0,5.0,4.0,4.0,8.667,0,1,0,$0.00,0,0
5351,False,3.0,3.0,3.0,4.0,36.0,1,1,0,$0.00,0,0
5352,False,2.0,3.0,2.0,3.0,24.0,0,3,0,$0.00,0,0
5353,False,1.0,1.0,3.0,3.0,335.0,3,3,2,$395331.00,1,3
5354,False,3.0,4.0,3.0,2.0,10.667,0,1,0,$0.00,0,0
5355,False,3.0,3.0,3.0,4.0,31.333,0,1,0,$0.00,0,0
5356,False,3.0,4.0,3.0,3.0,10.0,1,0,0,$0.00,0,0
5357,False,4.0,4.0,4.0,5.0,18.0,0,0,0,$0.00,0,0
5358,False,4.0,4.0,3.0,5.0,14.0,1,1,0,$0.00,0,0
5359,False,2.0,2.0,4.0,4.0,46.5,1,0,1,$37517.00,0,1
5360,False,5.0,5.0,,,8.0,0,0,0,$0.00,0,0
5361,False,3.0,2.0,5.0,5.0,106.833,0,2,1,$10238.00,0,1
5362,False,5.0,5.0,5.0,5.0,3.333,0,0,0,$0.00,0,0
5363,False,5.0,5.0,5.0,5.0,8.0,0,0,0,$0.00,0,0
5364,False,1.0,1.0,2.0,2.0,70.667,0,11,0,$0.00,1,1
5365,False,3.0,3.0,3.0,3.0,31.0,0,3,0,$0.00,0,0
5366,False,5.0,4.0,4.0,3.0,13.333,1,1,1,$650.00,0,1
5367,False,2.0,3.0,2.0,2.0,39.333,0,3,0,$0.00,0,0
5368,False,1.0,3.0,1.0,2.0,28.0,0,2,0,$0.00,0,0
5369,False,1.0,2.0,2.0,3.0,52.0,1,3,0,$0.00,0,0
5370,False,2.0,1.0,4.0,3.0,660.0,0,2,1,$172802.00,1,2
5371,False,3.0,4.0,,,21.333,2,0,0,$0.00,0,0
5372,False,1.0,2.0,1.0,2.0,74.0,1,3,1,$17518.00,0,1
5373,False,2.0,2.0,,,52.0,0,0,1,$21645.00,1,2
5374,False,3.0,3.0,2.0,4.0,30.667,0,3,0,$0.00,0,0
5375,False,1.0,1.0,,,117.5,2,6,1,$31135.00,1,2
5376,False,4.0,4.0,3.0,4.0,19.333,2,0,0,$0.00,0,0
5377,False,2.0,2.0,2.0,3.0,40.667,4,1,1,$4875.00,0,1
5378,False,3.0,3.0,3.0,4.0,28.0,1,4,1,$17323.00,0,1
5379,False,3.0,3.0,3.0,2.0,38.667,1,0,0,$0.00,0,0
5380,False,3.0,3.0,2.0,3.0,40.0,0,1,0,$0.00,0,0
5381,False,3.0,3.0,3.0,4.0,35.333,0,1,0,$0.00,0,0
